year,date,league,cross_region,team_a,team_b,winner,a_before,a_after,b_before,b_after
2014,2014-01-14,EU LCS,False,Fnatic,Gambit Gaming,Fnatic,1500.0,1512.0,1500.0,1488.0
2014,2014-01-14,EU LCS,False,Copenhagen Wolves,Alliance,Copenhagen Wolves,1500.0,1512.0,1500.0,1488.0
2014,2014-01-14,EU LCS,False,Alliance,Fnatic,Fnatic,1488.0,1476.8,1512.0,1523.2
2014,2014-01-14,EU LCS,False,Gambit Gaming,Copenhagen Wolves,Gambit Gaming,1488.0,1500.8,1512.0,1499.2
2014,2014-01-14,EU LCS,False,SK Gaming,Millenium,Millenium,1500.0,1488.0,1500.0,1512.0
2014,2014-01-15,EU LCS,False,SUPA HOT CREW,Alliance,SUPA HOT CREW,1500.0,1511.2,1476.8,1465.6
2014,2014-01-15,EU LCS,False,Fnatic,SK Gaming,Fnatic,1523.2,1534.0,1488.0,1477.2
2014,2014-01-15,EU LCS,False,Copenhagen Wolves,SK Gaming,SK Gaming,1499.2,1486.4,1477.2,1490.0
2014,2014-01-15,EU LCS,False,Team ROCCAT,Millenium,Team ROCCAT,1500.0,1512.4,1512.0,1499.6
2014,2014-01-16,EU LCS,False,SK Gaming,SUPA HOT CREW,SK Gaming,1490.0,1502.7,1511.2,1498.5
2014,2014-01-16,EU LCS,False,Gambit Gaming,SUPA HOT CREW,Gambit Gaming,1500.8,1512.7,1498.5,1486.5
2014,2014-01-16,EU LCS,False,Alliance,Team ROCCAT,Team ROCCAT,1465.6,1455.2,1512.4,1522.8
2014,2014-01-17,NA LCS,False,Cloud9,TSM,Cloud9,1500.0,1512.0,1500.0,1488.0
2014,2014-01-17,NA LCS,False,Evil Geniuses,XDG Gaming,XDG Gaming,1500.0,1488.0,1500.0,1512.0
2014,2014-01-17,NA LCS,False,Team Curse,Team Coast,Team Curse,1500.0,1512.0,1500.0,1488.0
2014,2014-01-17,NA LCS,False,XDG Gaming,Cloud9,Cloud9,1512.0,1500.0,1512.0,1524.0
2014,2014-01-18,NA LCS,False,TSM,Evil Geniuses,TSM,1488.0,1500.0,1488.0,1476.0
2014,2014-01-18,NA LCS,False,Counter Logic Gaming,Dignitas,Counter Logic Gaming,1500.0,1512.0,1500.0,1488.0
