year,date,league,playoffs,cross_region,team_a,team_b,score,k_eff,a_before,a_after,b_before,b_after
2014,2014-01-14,EU LCS,False,False,Fnatic,Gambit Gaming,1-0,28.0,1500.0,1514.0,1500.0,1486.0
2014,2014-01-14,EU LCS,False,False,Alliance,Copenhagen Wolves,0-1,28.0,1500.0,1486.0,1500.0,1514.0
2014,2014-01-14,EU LCS,False,False,Alliance,Fnatic,0-1,28.0,1486.0,1473.1,1514.0,1526.9
2014,2014-01-14,EU LCS,False,False,Copenhagen Wolves,Gambit Gaming,0-1,28.0,1514.0,1498.9,1486.0,1501.1
2014,2014-01-14,EU LCS,False,False,Millenium,SK Gaming,1-0,28.0,1500.0,1514.0,1500.0,1486.0
2014,2014-01-15,EU LCS,False,False,Alliance,SUPA HOT CREW,0-1,28.0,1473.1,1460.2,1500.0,1512.9
2014,2014-01-15,EU LCS,False,False,Fnatic,SK Gaming,1-0,28.0,1526.9,1539.2,1486.0,1473.6
2014,2014-01-15,EU LCS,False,False,Copenhagen Wolves,SK Gaming,0-1,28.0,1498.9,1483.9,1473.6,1488.7
2014,2014-01-15,EU LCS,False,False,Millenium,Team ROCCAT,0-1,28.0,1514.0,1499.4,1500.0,1514.6
2014,2014-01-16,EU LCS,False,False,SK Gaming,SUPA HOT CREW,1-0,28.0,1488.7,1503.6,1512.9,1497.9
2014,2014-01-16,EU LCS,False,False,Gambit Gaming,SUPA HOT CREW,1-0,28.0,1501.1,1515.0,1497.9,1484.1
2014,2014-01-16,EU LCS,False,False,Alliance,Team ROCCAT,0-1,28.0,1460.2,1448.4,1514.6,1526.4
2014,2014-01-17,NA LCS,False,False,Cloud9,TSM,1-0,28.0,1500.0,1514.0,1500.0,1486.0
2014,2014-01-17,NA LCS,False,False,Evil Geniuses,XDG Gaming,0-1,28.0,1500.0,1486.0,1500.0,1514.0
2014,2014-01-17,NA LCS,False,False,Team Coast,Team Curse,0-1,28.0,1500.0,1486.0,1500.0,1514.0
2014,2014-01-17,NA LCS,False,False,Cloud9,XDG Gaming,1-0,28.0,1514.0,1528.0,1514.0,1500.0
2014,2014-01-18,NA LCS,False,False,Evil Geniuses,TSM,0-1,28.0,1486.0,1472.0,1486.0,1500.0
2014,2014-01-18,NA LCS,False,False,Counter Logic Gaming,Dignitas,1-0,28.0,1500.0,1514.0,1500.0,1486.0
2014,2014-01-18,NA LCS,False,False,Team Curse,XDG Gaming,1-0,28.0,1514.0,1527.4,1500.0,1486.6
2014,2014-01-18,NA LCS,False,False,Cloud9,Counter Logic Gaming,1-0,28.0,1528.0,1541.4,1514.0,1500.6
2014,2014-01-18,NA LCS,False,False,Dignitas,TSM,0-1,28.0,1486.0,1472.6,1500.0,1513.4
2014,2014-01-18,NA LCS,False,False,Counter Logic Gaming,Evil Geniuses,0-1,28.0,1500.6,1485.4,1472.0,1487.1
2014,2014-01-18,NA LCS,False,False,Dignitas,Team Coast,1-0,28.0,1472.6,1487.1,1486.0,1471.5
2014,2014-01-19,NA LCS,False,False,Counter Logic Gaming,Team Curse,1-0,28.0,1485.4,1501.1,1527.4,1511.8
2014,2014-01-19,NA LCS,False,False,Cloud9,Dignitas,0-1,28.0,1541.4,1525.3,1487.1,1503.3
